#
# .csv to store UE's information in HSS
"# Kept in the following format: ""Name",IMSI,Key,OP_Type,OP/OPc,AMF,QCI,IP_alloc,sst,sd,dnn,"session_type"""
#
# Name:     Human readable name to help distinguish UE's. Ignored by the HSS
# IMSI:     UE's IMSI value
# Key:      UE's key," where other keys are derived from. Stored in hexadecimal"
# OP_Type:  Operator's code type," either OP or OPc"
# OP/OPc:   Operator Code/Cyphered Operator Code," stored in hexadecimal"
# AMF:      Authentication management field," stored in hexadecimal"
# QCI:      QoS Class Identifier for the UE's default bearer.
# IP_alloc: Statically assigned IP for the UE.
# sst: 1
# sd: ffffff
# dnn: oai (add_users.py also adds APN "default" as IPv4v6 on every slice)
# session_type: 1 - IPv4," 2 - IPv6"," 3 - IPv4IPv6"
# Note: Lines starting by '#' are ignored and will be overwritten
# List of UEs with IMSI," and key increasing by one for each new UE. Useful for testing with AmariUE simulator and ue_count option"
ue01,001010000000001,fec86ba6eb707ed08905757b1bb44b8f,opc,C42449363BBAD02B66D16BC975D77CC1,8000,9,10.45.0.31,1,000001,oai,1
ue02,001010000000002,fec86ba6eb707ed08905757b1bb44b8f,opc,C42449363BBAD02B66D16BC975D77CC1,8000,9,10.45.0.32,1,000002,oai,1
ue03,001010000000003,fec86ba6eb707ed08905757b1bb44b8f,opc,C42449363BBAD02B66D16BC975D77CC1,8000,9,10.45.0.33,1,000003,oai,1
ue04,001010000000004,fec86ba6eb707ed08905757b1bb44b8f,opc,C42449363BBAD02B66D16BC975D77CC1,8000,9,10.45.0.34,1,000004,oai,1
ue05,001010000000005,fec86ba6eb707ed08905757b1bb44b8f,opc,C42449363BBAD02B66D16BC975D77CC1,8000,9,10.45.0.35,1,000005,oai,1
